Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ARS,ful,WHU,liv,SHU,mci,LEI,mun,AVL,lee,WOL,tot,BUR,SOU,eve,CHE,bha,wba,CRY,NEW,,sou,MUN,wol,avl,LEE,MCI,lei,bur,TOT,whu,LIV,shu,FUL,EVE,new,WBA,che,cry,BHA
AVL,,SHU,ful,LIV,lei,LEE,SOU,ars,BHA,whu,,wol,BUR,wba,CRY,che,mun,TOT,EVE,,bur,sou,WHU,ARS,bha,LEI,lee,WOL,new,shu,FUL,liv,MCI,WBA,eve,MUN,cry,tot,CHE
BHA,CHE,new,MUN,eve,cry,WBA,tot,BUR,avl,LIV,SOU,lei,ful,SHU,whu,ARS,WOL,mci,lee,,FUL,TOT,liv,bur,AVL,CRY,wba,LEI,sou,NEW,mun,EVE,che,shu,LEE,wol,WHU,MCI,ars
BUR,,lei,SOU,new,wba,TOT,CHE,bha,CRY,mci,EVE,ars,avl,WOL,lee,SHU,FUL,,whu,liv,AVL,che,MCI,BHA,cry,WBA,tot,ARS,eve,LEI,sou,NEW,mun,wol,WHU,ful,LEE,LIV,shu
CHE,bha,LIV,wba,CRY,SOU,mun,bur,SHU,new,TOT,LEE,eve,wol,WHU,ars,AVL,MCI,,ful,lei,WOL,BUR,tot,shu,NEW,sou,MUN,EVE,lee,liv,WBA,cry,BHA,whu,FUL,mci,ARS,LEI,avl
CRY,SOU,mun,EVE,che,BHA,ful,wol,LEE,bur,NEW,wba,TOT,whu,LIV,avl,LEI,SHU,ars,mci,,WHU,WOL,new,lee,BUR,bha,FUL,tot,WBA,MUN,eve,CHE,sou,lei,MCI,shu,AVL,ARS,liv
EVE,tot,WBA,cry,BHA,LIV,sou,new,MUN,ful,LEE,bur,CHE,lei,ARS,shu,,WHU,wol,avl,,LEI,NEW,lee,mun,FUL,liv,SOU,che,BUR,wba,CRY,bha,TOT,ars,AVL,whu,SHU,WOL,mci
FUL,ARS,lee,AVL,wol,shu,CRY,WBA,whu,EVE,lei,mci,LIV,BHA,new,SOU,,bur,,CHE,MUN,bha,wba,LEI,WHU,eve,SHU,cry,liv,MCI,LEE,avl,WOL,ars,TOT,che,BUR,sou,mun,NEW
LEE,liv,FUL,shu,MCI,WOL,avl,LEI,cry,ARS,eve,che,WHU,NEW,mun,BUR,wba,tot,,BHA,SOU,new,lei,EVE,CRY,ars,wol,AVL,whu,CHE,ful,SHU,mci,LIV,MUN,bha,TOT,bur,sou,WBA
LEI,wba,BUR,mci,WHU,AVL,ars,lee,WOL,liv,FUL,shu,BHA,EVE,tot,MUN,cry,new,,SOU,CHE,eve,LEE,ful,wol,LIV,avl,ARS,bha,SHU,bur,MCI,whu,WBA,CRY,sou,NEW,mun,che,TOT
LIV,LEE,che,ARS,avl,eve,SHU,WHU,mci,LEI,bha,WOL,ful,TOT,cry,WBA,new,sou,,MUN,BUR,tot,whu,BHA,MCI,lei,EVE,shu,FUL,wol,CHE,ars,AVL,lee,NEW,mun,SOU,wba,bur,CRY
MCI,,wol,LEI,lee,ARS,whu,shu,LIV,tot,BUR,FUL,mun,WBA,sou,NEW,,che,BHA,CRY,,wba,SHU,bur,liv,TOT,ars,WHU,MUN,ful,WOL,lei,LEE,avl,SOU,cry,CHE,new,bha,EVE
MUN,,CRY,bha,TOT,new,CHE,ARS,eve,WBA,sou,whu,MCI,shu,LEE,lei,WOL,AVL,,liv,ful,SHU,ars,SOU,EVE,wba,NEW,che,mci,WHU,cry,BHA,tot,BUR,lee,LIV,avl,LEI,FUL,wol
NEW,whu,BHA,tot,BUR,MUN,wol,EVE,sou,CHE,cry,,WBA,lee,FUL,mci,LIV,LEI,shu,ars,,LEE,eve,CRY,SOU,che,mun,WOL,wba,AVL,bha,TOT,bur,WHU,liv,ARS,lei,MCI,SHU,ful
SHU,WOL,avl,LEE,ars,FUL,liv,MCI,che,WHU,wba,LEI,sou,MUN,bha,EVE,bur,cry,NEW,TOT,,mun,mci,WBA,CHE,whu,ful,LIV,SOU,lei,AVL,lee,ARS,wol,BHA,tot,CRY,eve,new,BUR
SOU,cry,TOT,bur,WBA,che,EVE,avl,NEW,wol,MUN,bha,SHU,ars,MCI,ful,WHU,LIV,,lei,lee,ARS,AVL,mun,new,WOL,CHE,eve,shu,BHA,tot,BUR,wba,CRY,mci,LEI,liv,FUL,LEE,whu
TOT,EVE,sou,NEW,mun,WHU,bur,BHA,wba,MCI,che,ARS,cry,liv,LEI,wol,,LEE,avl,shu,,LIV,bha,CHE,WBA,mci,whu,BUR,CRY,ars,SOU,new,MUN,eve,ful,SHU,lee,WOL,AVL,lei
WBA,LEI,eve,CHE,sou,BUR,bha,ful,TOT,mun,SHU,CRY,new,mci,AVL,liv,LEE,ARS,,wol,whu,MCI,FUL,shu,tot,MUN,bur,BHA,NEW,cry,EVE,che,SOU,lei,avl,WOL,ars,LIV,WHU,lee
WHU,NEW,ars,WOL,lei,tot,MCI,liv,FUL,shu,AVL,MUN,lee,CRY,che,BHA,sou,eve,,BUR,WBA,cry,LIV,avl,ful,SHU,TOT,mci,LEE,mun,ARS,wol,LEI,new,CHE,bur,EVE,bha,wba,SOU
WOL,shu,MCI,whu,FUL,lee,NEW,CRY,lei,SOU,ars,liv,AVL,CHE,bur,TOT,mun,bha,EVE,WBA,,che,cry,ARS,LEI,sou,LEE,new,avl,LIV,mci,WHU,ful,SHU,BUR,wba,BHA,tot,eve,MUN
